split,zero_output,linear_in_input,constant_output
14,109,56,0
90,201,258,63
15,15,28,0
20,86,73,0
71,223,269,49
11,17,30,0
13,134,32,0
54,218,201,139
10,15,33,0
21,59,99,0
90,240,272,10
23,12,23,0
24,93,62,0
115,204,263,30
20,9,29,0
13,126,40,0
59,219,214,120
14,14,30,0
21,90,68,0
80,223,267,42
21,11,26,0
17,104,58,0
76,212,236,88
25,10,23,0
22,77,80,0
76,235,281,20
12,12,34,0
19,74,86,0
82,230,262,38
21,12,25,0
21,67,91,0
114,231,262,5
19,13,26,0
29,66,84,0
123,209,251,29
25,9,24,0
20,91,68,0
71,228,260,53
26,6,26,0
24,70,85,0
99,230,276,7
21,14,23,0
4,129,46,0
43,236,177,156
14,14,30,0
18,86,75,0
99,217,282,14
22,14,22,0
25,83,71,0
86,222,274,30
23,9,26,0
17,102,60,0
74,222,257,59
14,16,28,0
21,68,90,0
89,223,271,29
25,13,20,0
20,106,53,0
74,212,272,54
23,5,30,0
26,82,71,0
80,223,267,42
21,11,26,0
17,94,68,0
67,228,246,71
21,8,29,0
17,88,74,0
105,210,256,41
22,11,25,0
18,94,67,0
85,221,264,42
19,5,34,0
29,102,48,0
100,191,267,54
24,7,27,0
22,35,122,0
97,256,253,6
16,17,25,0
13,121,45,0
74,206,260,72
21,14,23,0
20,92,67,0
78,228,270,36
24,5,29,0
29,52,98,0
87,236,276,13
26,11,21,0
9,132,38,0
65,218,187,142
14,15,29,0
16,91,72,0
73,234,255,50
22,11,25,0
9,136,34,0
62,207,186,157
15,12,31,0
18,84,77,0
71,230,274,37
23,9,26,0
26,85,68,0
71,235,277,29
15,17,26,0
24,87,68,0
84,237,253,38
21,15,22,0
24,70,85,0
98,231,275,8
19,15,24,0
16,100,63,0
80,218,275,39
17,14,27,0
14,125,40,0
62,225,185,140
15,14,29,0
23,95,61,0
82,225,256,49
17,13,28,0
12,117,50,0
53,237,203,119
20,11,27,0
9,145,25,0
58,206,178,170
19,9,30,0
16,108,55,0
82,214,265,51
19,12,27,0
13,96,70,0
77,225,259,51
12,15,31,0
16,113,50,0
75,211,244,82
18,11,29,0
22,103,54,0
64,232,244,72
23,8,27,0
25,86,68,0
120,205,263,24
21,7,30,0
16,111,52,0
71,220,213,108
17,14,27,0
22,102,55,0
100,195,264,53
27,2,29,0
21,63,95,0
82,237,258,35
17,12,29,0
19,91,69,0
84,224,273,31
17,16,25,0
20,98,61,0
72,226,250,64
18,9,31,0
17,60,102,0
80,230,287,15
20,15,23,0
25,82,72,0
77,227,287,21
23,7,28,0
30,87,62,0
121,200,274,17
25,10,23,0
16,75,88,0
90,222,274,26
22,12,24,0
16,79,84,0
74,235,257,46
26,9,23,0
22,76,81,0
99,226,256,31
20,14,24,0
11,135,33,0
57,215,195,145
10,15,33,0
17,84,78,0
79,219,271,43
25,9,24,0
22,114,43,0
78,200,255,79
24,10,24,0
7,111,61,0
48,226,255,83
12,23,23,0
16,72,91,0
84,231,248,49
21,10,27,0
19,111,49,0
95,196,239,82
24,4,30,0
20,94,65,0
82,229,243,58
20,8,30,0
20,76,83,0
91,218,273,30
26,9,23,0
15,118,46,0
71,196,222,123
18,8,32,0
21,81,77,0
115,202,259,36
31,7,20,0
23,92,64,0
100,212,276,24
18,12,28,0
14,69,96,0
71,240,263,38
19,13,26,0
17,80,82,0
93,228,270,21
20,15,23,0
18,102,59,0
73,213,272,54
18,13,27,0
14,50,115,0
103,238,267,4
15,20,23,0
28,74,77,0
74,246,280,12
19,16,23,0
12,91,76,0
71,237,246,58
16,18,24,0
13,122,44,0
73,225,202,112
13,14,31,0
15,98,66,0
71,226,255,60
28,11,19,0
28,93,58,0
87,223,248,54
15,12,31,0
16,104,59,0
94,206,262,50
24,11,23,0
19,101,59,0
79,221,241,71
22,9,27,0
18,71,90,0
78,233,273,28
16,18,24,0
15,108,56,0
69,217,263,63
17,12,29,0
19,84,76,0
70,237,264,41
24,5,29,0
19,73,87,0
70,239,276,27
18,14,26,0
17,109,53,0
79,209,274,50
19,14,25,0
32,60,87,0
125,208,254,25
29,9,20,0
20,64,95,0
72,232,275,33
15,14,29,0
20,91,68,0
78,215,270,49
19,17,22,0
16,83,80,0
90,227,256,39
20,14,24,0
20,82,77,0
93,219,255,45
18,13,27,0
12,119,48,0
61,226,217,108
13,15,30,0
25,76,78,0
91,226,271,24
20,16,22,0
18,96,65,0
77,223,239,73
24,8,26,0
27,100,52,0
102,206,223,81
23,8,27,0
11,73,95,0
74,239,267,32
21,12,25,0
8,109,62,0
51,233,227,101
12,20,26,0
24,50,105,0
96,228,272,16
23,10,25,0
15,127,37,0
70,202,202,138
18,10,30,0
23,77,79,0
74,231,273,34
25,12,21,0
26,86,67,0
96,220,270,26
21,8,29,0
21,74,84,0
86,221,273,32
23,14,21,0
23,89,67,0
122,199,245,46
26,8,24,0
32,68,79,0
112,226,270,4
20,14,24,0
24,75,80,0
86,235,279,12
18,14,26,0
24,90,65,0
77,229,261,45
16,13,29,0
19,94,66,0
74,220,248,70
23,10,25,0
18,97,64,0
95,209,265,43
22,10,26,0
33,55,91,0
122,211,271,8
24,8,26,0
15,124,40,0
62,216,215,119
15,13,30,0
18,95,66,0
81,214,261,56
19,8,31,0
12,103,64,0
87,225,252,48
24,8,26,0
26,70,83,0
105,220,256,31
19,12,27,0
20,108,51,0
77,212,239,84
17,16,25,0
12,108,59,0
76,222,225,89
15,10,33,0
17,96,66,0
77,220,269,46
25,8,25,0
17,108,54,0
71,218,241,82
28,7,23,0
21,104,54,0
68,226,253,65
20,5,33,0
13,117,49,0
67,208,254,83
24,5,29,0
14,93,72,0
65,228,281,38
18,14,26,0
24,101,54,0
90,221,237,64
25,4,29,0
26,73,80,0
88,232,265,27
18,12,28,0
25,51,103,0
91,235,275,11
14,16,28,0
27,92,60,0
87,226,257,42
23,8,27,0
14,124,41,0
60,208,234,110
21,11,26,0
28,80,71,0
107,213,245,47
28,4,26,0
13,100,66,0
64,230,259,59
15,12,31,0
21,101,57,0
70,222,250,70
24,5,29,0
24,75,80,0
94,229,276,13
17,18,23,0
29,77,73,0
86,227,281,18
17,12,29,0
15,57,107,0
85,233,278,16
20,15,23,0
23,87,69,0
77,230,286,19
20,8,30,0
18,70,91,0
70,239,275,28
23,8,27,0
23,58,98,0
77,245,274,16
15,11,32,0
13,67,99,0
66,246,287,13
20,14,24,0
13,81,85,0
64,239,281,28
26,13,19,0
26,71,82,0
72,235,264,41
23,10,25,0
9,122,48,0
44,242,203,123
16,13,29,0
20,80,79,0
80,241,272,19
23,8,27,0
17,112,50,0
53,236,218,105
16,13,29,0
22,75,82,0
90,229,247,46
21,10,27,0
24,79,76,0
92,215,273,32
23,8,27,0
22,105,52,0
96,204,243,69
21,6,31,0
11,120,48,0
71,200,263,78
17,15,26,0
21,88,70,0
91,223,274,24
26,11,21,0
12,131,36,0
51,216,202,143
15,13,30,0
19,92,68,0
82,220,268,42
27,9,22,0
9,135,35,0
59,214,198,141
15,14,29,0
29,61,89,0
92,232,268,20
23,8,27,0
22,51,106,0
82,243,271,16
16,10,32,0
26,79,74,0
92,230,269,21
23,8,27,0
24,98,57,0
98,199,251,64
31,5,22,0
26,83,70,0
80,226,269,37
23,6,29,0
24,68,87,0
101,222,268,21
26,13,19,0
22,96,61,0
87,212,268,45
26,5,27,0
21,93,65,0
96,221,269,26
25,10,23,0
12,133,34,0
47,215,172,178
14,12,32,0
22,73,84,0
77,237,281,17
22,6,30,0
19,103,57,0
80,232,221,79
10,14,34,0
17,90,72,0
86,235,259,32
20,11,27,0
21,94,64,0
65,230,292,25
14,19,25,0
17,109,53,0
88,210,233,81
21,7,30,0
21,90,68,0
71,227,265,49
14,17,27,0
19,78,82,0
111,216,246,39
22,8,28,0
17,65,97,0
80,246,277,9
21,11,26,0
15,86,78,0
58,233,285,36
18,13,27,0
27,89,63,0
87,214,260,51
22,12,24,0
23,63,93,0
85,239,277,11
21,15,22,0
36,76,67,0
112,208,270,22
32,6,20,0
22,98,59,0
87,213,252,60
20,12,26,0
17,121,41,0
60,228,208,116
12,16,30,0
19,98,62,0
90,209,258,55
23,6,29,0
20,105,54,0
87,211,260,54
25,7,26,0
18,80,81,0
76,236,260,40
14,22,22,0
23,67,89,0
98,228,281,5
10,20,28,0
27,76,76,0
126,201,270,15
21,14,23,0
22,84,73,0
92,223,267,30
28,8,22,0
14,132,33,0
77,192,214,129
21,8,29,0
13,139,27,0
65,197,194,156
19,11,28,0
17,81,81,0
83,230,250,49
28,8,22,0
13,128,38,0
40,231,204,137
16,11,31,0
27,62,90,0
76,246,272,18
18,17,23,0
7,134,38,0
48,221,167,176
17,10,31,0
25,66,88,0
82,223,261,46
26,10,22,0
18,106,55,0
67,229,260,56
18,8,32,0
15,70,94,0
68,268,270,6
14,21,23,0
23,77,79,0
109,216,264,23
22,6,30,0
25,86,68,0
84,223,268,37
27,5,26,0
14,64,101,0
77,242,279,14
16,18,24,0
24,71,84,0
83,235,262,32
19,12,27,0
25,60,94,0
88,252,267,5
16,18,24,0
12,136,31,0
66,197,199,150
12,12,34,0
14,109,56,0
60,237,223,92
11,17,30,0
11,128,40,0
56,206,206,144
13,13,32,0
24,73,82,0
93,245,247,27
19,12,27,0
18,94,67,0
94,204,256,58
21,11,26,0
27,64,88,0
115,226,261,10
24,10,24,0
19,123,37,0
83,191,226,112
22,8,28,0
10,119,50,0
52,236,210,114
16,15,27,0
13,92,74,0
58,242,264,48
12,12,34,0
21,101,57,0
71,217,251,73
22,8,28,0
21,61,97,0
69,250,266,27
21,12,25,0
11,34,134,0
84,249,268,11
18,16,24,0
19,73,87,0
82,236,258,36
20,14,24,0
13,128,38,0
48,224,213,127
11,15,32,0
8,140,31,0
61,203,171,177
14,12,32,0
13,133,33,0
55,216,214,127
10,15,33,0
21,107,51,0
91,210,248,63
18,10,30,0
18,85,76,0
69,236,260,47
18,9,31,0
29,73,77,0
101,211,265,35
22,15,21,0
17,90,72,0
89,221,258,44
24,10,24,0
20,86,73,0
58,227,264,63
10,18,30,0
16,103,60,0
78,216,282,36
20,13,25,0
22,97,60,0
103,207,257,45
24,8,26,0
18,86,75,0
71,225,250,66
15,17,26,0
23,107,49,0
55,224,250,83
18,9,31,0
14,85,80,0
65,238,262,47
23,9,26,0
23,70,86,0
92,247,256,17
20,11,27,0
17,91,71,0
79,231,264,38
12,18,28,0
17,88,74,0
78,230,256,48
12,14,32,0
21,101,57,0
84,206,262,60
26,11,21,0
26,80,73,0
79,236,276,21
27,9,22,0
21,89,69,0
75,229,282,26
17,16,25,0
22,65,92,0
90,231,277,14
28,10,20,0
16,37,126,0
89,242,273,8
22,12,24,0
17,98,64,0
74,225,259,54
17,16,25,0
16,139,24,0
70,202,191,149
15,12,31,0
23,77,79,0
100,216,279,17
15,17,26,0
28,56,95,0
103,218,267,24
25,14,19,0
20,114,45,0
91,201,240,80
25,5,28,0
11,132,36,0
52,226,188,146
11,14,33,0
16,124,39,0
78,201,252,81
16,14,28,0
25,92,62,0
83,223,256,50
20,10,28,0
25,98,56,0
96,210,246,60
19,9,30,0
26,69,84,0
81,239,254,38
21,9,28,0
26,66,87,0
108,216,264,24
16,16,26,0
16,116,47,0
64,222,236,90
16,13,29,0
25,97,57,0
79,212,275,46
26,7,25,0
9,104,66,0
65,227,259,61
15,16,27,0
18,99,62,0
75,213,259,65
22,10,26,0
24,83,72,0
88,216,275,33
19,9,30,0
13,131,35,0
54,212,170,176
15,12,31,0
24,80,75,0
79,231,255,47
25,9,24,0
31,59,89,0
102,227,273,10
22,10,26,0
20,63,96,0
72,243,264,33
18,14,26,0
17,104,58,0
81,203,269,59
23,10,25,0
13,113,53,0
74,217,233,88
27,9,22,0
25,93,61,0
108,195,266,43
30,9,19,0
21,62,96,0
79,242,286,5
15,20,23,0
30,88,61,0
85,221,249,57
15,15,28,0
16,70,93,0
88,229,277,18
21,12,25,0
13,109,57,0
70,225,251,66
19,13,26,0
21,68,90,0
77,238,261,36
18,11,29,0
11,135,33,0
65,204,205,138
15,11,32,0
16,88,75,0
70,220,273,49
21,12,25,0
22,94,63,0
101,215,267,29
20,9,29,0
22,114,43,0
72,215,257,68
13,17,28,0
19,112,48,0
60,221,215,116
18,13,27,0
22,83,74,0
75,238,259,40
20,15,23,0
24,86,69,0
89,216,242,65
19,10,29,0
23,70,86,0
80,225,284,23
15,13,30,0
23,69,87,0
114,217,259,22
25,11,22,0
28,67,84,0
129,204,251,28
29,7,22,0
20,104,55,0
87,222,240,63
24,8,26,0
10,116,53,0
66,202,267,77
23,12,23,0
15,112,52,0
66,218,259,69
14,16,28,0
20,104,55,0
67,225,217,103
22,8,28,0
16,115,48,0
65,224,209,114
17,12,29,0
24,52,103,0
86,239,272,15
27,7,24,0
18,115,46,0
50,227,214,121
17,13,28,0
34,48,97,0
124,213,270,5
23,10,25,0
17,90,72,0
87,224,272,29
24,14,20,0
16,80,83,0
76,232,270,34
23,15,20,0
24,61,94,0
97,233,267,15
25,9,24,0
13,134,32,0
45,214,179,174
13,13,32,0
19,79,81,0
97,216,262,37
20,10,28,0
24,72,83,0
87,228,268,29
20,14,24,0
25,83,71,0
72,229,286,25
17,13,28,0
11,126,42,0
52,224,207,129
14,13,31,0
12,68,99,0
89,234,254,35
21,12,25,0
17,77,85,0
63,257,275,17
17,14,27,0
3,143,33,0
39,218,176,179
14,12,32,0
18,85,76,0
85,224,271,32
19,15,24,0
15,84,80,0
100,220,252,40
24,9,25,0
19,101,59,0
70,229,245,68
23,11,24,0
20,115,44,0
92,197,255,68
20,9,29,0
24,91,64,0
79,231,261,41
18,12,28,0
16,93,70,0
88,213,259,52
17,12,29,0
20,97,62,0
78,216,254,64
20,6,32,0
16,96,67,0
54,216,280,62
14,14,30,0
11,126,42,0
52,234,216,110
11,15,32,0
25,93,61,0
101,208,246,57
22,11,25,0
22,70,87,0
94,219,272,27
25,10,23,0
21,74,84,0
104,218,271,19
15,16,27,0
12,89,78,0
74,235,265,38
19,13,26,0
20,79,80,0
61,239,279,33
18,13,27,0
32,68,79,0
93,231,278,10
24,12,22,0
22,93,64,0
88,221,249,54
18,10,30,0
20,54,105,0
95,251,263,3
18,14,26,0
24,77,78,0
104,223,277,8
20,14,24,0
22,70,87,0
97,223,256,36
9,16,33,0
19,80,80,0
95,217,266,34
20,12,26,0
20,105,54,0
84,212,247,69
18,12,28,0
19,75,85,0
75,234,275,28
27,11,20,0
6,132,41,0
55,221,206,130
14,14,30,0
16,102,61,0
96,192,272,52
34,4,20,0
22,88,69,0
96,223,248,45
21,9,28,0
19,74,86,0
104,224,279,5
14,20,24,0
22,96,61,0
82,222,248,60
16,13,29,0
21,101,57,0
86,216,259,51
29,6,23,0
25,76,78,0
79,238,265,30
15,14,29,0
17,106,56,0
74,229,252,57
17,10,31,0
17,100,62,0
88,217,239,68
22,9,27,0
19,25,135,0
79,258,274,1
16,19,23,0
28,61,90,0
92,239,268,13
21,11,26,0
21,82,76,0
102,222,256,32
22,11,25,0
6,131,42,0
43,232,160,177
11,14,33,0
17,71,91,0
98,226,268,20
26,10,22,0
12,104,63,0
74,220,237,81
17,10,31,0
15,102,62,0
55,222,266,69
12,18,28,0
21,64,94,0
96,227,281,8
22,7,29,0
26,64,89,0
93,231,282,6
19,14,25,0
17,115,47,0
73,218,224,97
20,14,24,0
20,100,59,0
82,219,247,64
20,17,21,0
14,95,70,0
81,221,261,49
25,8,25,0
20,97,62,0
78,224,263,47
22,9,27,0
29,88,62,0
101,224,263,24
22,13,23,0
19,102,58,0
86,212,242,72
20,11,27,0
17,104,58,0
58,236,238,80
21,11,26,0
13,68,98,0
85,257,260,10
17,13,28,0
16,92,71,0
90,216,256,50
26,12,20,0
11,124,44,0
45,228,205,134
19,11,28,0
14,128,37,0
44,224,167,177
16,12,30,0
22,94,63,0
82,224,273,33
21,13,24,0
6,134,39,0
42,228,191,151
17,12,29,0
25,85,69,0
87,227,278,20
20,12,26,0
21,91,67,0
99,220,276,17
18,12,28,0
23,94,62,0
84,228,252,48
21,12,25,0
23,77,79,0
106,221,245,40
17,13,28,0
12,109,58,0
88,208,267,49
9,18,31,0
30,51,98,0
113,221,273,5
26,11,21,0
23,83,73,0
97,213,274,28
19,9,30,0
21,97,61,0
83,225,247,57
14,15,29,0
15,110,54,0
108,189,265,50
24,6,28,0
12,127,40,0
60,225,207,120
13,13,32,0
29,64,86,0
83,241,277,11
17,15,26,0
35,72,72,0
98,227,252,35
26,9,23,0
7,124,48,0
39,234,198,141
11,17,30,0
20,79,80,0
78,233,250,51
25,9,24,0
21,57,101,0
84,235,284,9
18,11,29,0
10,129,40,0
55,222,193,142
15,11,32,0
24,97,58,0
76,216,280,40
18,13,27,0
14,116,49,0
74,215,205,118
13,14,31,0
20,67,92,0
91,233,264,24
19,13,26,0
24,58,97,0
93,234,282,3
18,20,20,0
17,42,120,0
92,234,265,21
18,11,29,0
16,128,35,0
62,219,210,121
13,14,31,0
21,75,83,0
97,221,259,35
28,8,22,0
19,68,92,0
86,241,274,11
18,12,28,0
10,141,28,0
58,206,169,179
17,8,33,0
14,119,46,0
48,220,255,89
24,10,24,0
27,68,84,0
96,221,258,37
24,7,27,0
21,104,54,0
66,209,256,81
18,14,26,0
21,78,80,0
76,229,255,52
15,15,28,0
17,96,66,0
84,232,259,37
20,16,22,0
16,111,52,0
79,213,234,86
17,13,28,0
20,72,87,0
103,216,284,9
26,8,24,0
31,83,65,0
89,238,264,21
20,11,27,0
17,81,81,0
110,210,225,67
32,6,20,0
17,84,78,0
105,206,281,20
22,13,23,0
17,100,62,0
91,211,235,75
26,5,27,0
23,90,66,0
101,215,266,30
18,12,28,0
7,121,51,0
46,220,249,97
16,17,25,0
16,95,68,0
65,228,254,65
22,14,22,0
21,79,79,0
131,203,269,9
26,13,19,0
23,62,94,0
94,226,266,26
19,14,25,0
24,75,80,0
112,214,249,37
29,6,23,0
24,78,77,0
98,227,270,17
15,8,35,0
18,109,52,0
71,205,248,88
23,6,29,0
8,137,34,0
44,216,199,153
17,11,30,0
17,128,34,0
44,224,211,133
16,12,30,0
19,94,66,0
82,216,287,27
23,9,26,0
25,86,68,0
77,237,289,9
13,19,26,0
19,104,56,0
94,191,253,74
22,11,25,0
11,78,90,0
70,237,265,40
15,13,30,0
11,126,42,0
71,205,239,97
15,14,29,0
20,70,89,0
106,226,247,33
21,9,28,0
14,134,31,0
55,211,208,138
18,9,31,0
25,90,64,0
87,230,247,48
21,7,30,0
17,112,50,0
85,200,240,87
24,13,21,0
15,127,37,0
66,213,214,119
13,14,31,0
14,98,67,0
68,232,238,74
17,12,29,0
22,51,106,0
74,244,267,27
18,13,27,0
19,63,97,0
81,231,281,19
21,8,29,0
22,98,59,0
70,224,245,73
20,10,28,0
14,129,36,0
50,215,198,149
20,10,28,0
31,92,56,0
114,205,239,54
27,6,25,0
24,65,90,0
83,232,285,12
29,9,20,0
18,83,78,0
79,232,260,41
18,12,28,0
29,86,64,0
92,222,275,23
24,11,23,0
21,99,59,0
94,209,265,44
19,12,27,0
13,97,69,0
59,233,278,42
14,11,33,0
15,67,97,0
90,237,263,22
18,12,28,0
22,84,73,0
104,217,239,52
27,8,23,0
26,70,83,0
113,211,275,13
21,15,22,0
33,73,73,0
106,208,273,25
27,8,23,0
26,81,72,0
89,234,264,25
25,10,23,0
16,81,82,0
73,227,253,59
13,18,27,0
29,32,118,0
91,246,273,2
21,12,25,0
10,66,103,0
81,243,275,13
16,18,24,0
21,71,87,0
103,224,263,22
16,16,26,0
13,120,46,0
55,223,220,114
15,12,31,0
10,116,53,0
58,220,261,73
22,13,23,0
14,115,50,0
59,224,240,89
18,14,26,0
13,52,114,0
78,248,278,8
22,14,22,0
19,82,78,0
71,226,279,36
16,16,26,0
22,97,60,0
79,204,253,76
18,8,32,0
23,102,54,0
75,219,244,74
24,11,23,0
7,128,44,0
47,232,197,136
18,12,28,0
23,95,61,0
69,220,255,68
22,10,26,0
27,77,75,0
94,232,259,27
25,8,25,0
18,131,30,0
46,218,172,176
18,10,30,0
22,107,50,0
111,198,251,52
26,7,25,0
20,87,72,0
85,239,277,11
19,14,25,0
18,94,67,0
61,225,262,64
17,11,30,0
20,91,68,0
80,223,276,33
21,14,23,0
29,69,81,0
121,217,268,6
19,16,23,0
14,88,77,0
72,230,284,26
18,13,27,0
19,103,57,0
79,222,233,78
24,5,29,0
10,136,33,0
66,208,163,175
14,13,31,0
24,83,72,0
95,218,269,30
28,5,25,0
21,79,79,0
104,221,255,32
23,10,25,0
10,129,40,0
60,214,207,131
17,10,31,0
32,74,73,0
125,189,269,29
33,7,18,0
17,105,57,0
81,203,233,95
17,14,27,0
28,86,65,0
86,211,290,25
20,7,31,0
23,100,56,0
76,221,238,77
30,7,21,0
12,91,76,0
69,236,246,61
17,13,28,0
22,84,73,0
85,226,237,64
29,7,22,0
19,42,118,0
70,247,285,10
24,13,21,0
17,109,53,0
73,222,264,53
15,15,28,0
18,101,60,0
76,222,246,68
22,7,29,0
20,28,131,0
99,254,259,0
17,20,21,0
22,79,78,0
86,235,270,21
23,9,26,0
17,71,91,0
66,242,271,33
19,11,28,0
29,101,49,0
119,198,238,57
32,4,22,0
26,73,80,0
96,228,263,25
17,15,26,0
23,83,73,0
95,219,251,47
22,12,24,0
28,58,93,0
89,229,276,18
26,7,25,0
14,80,85,0
72,229,265,46
16,14,28,0
22,75,82,0
78,231,262,41
22,9,27,0
17,56,106,0
83,242,280,7
25,14,19,0
14,70,95,0
61,245,264,42
23,10,25,0
12,60,107,0
65,251,282,14
13,15,30,0
18,96,65,0
73,218,271,50
21,12,25,0
19,78,82,0
96,221,289,6
20,17,21,0
20,92,67,0
84,221,270,37
23,11,24,0
12,122,45,0
59,219,216,118
16,13,29,0
25,102,52,0
85,216,259,52
20,13,25,0
29,83,67,0
75,238,266,33
20,10,28,0
29,73,77,0
108,212,256,36
20,10,28,0
6,84,89,0
69,245,279,19
16,17,25,0
22,101,56,0
71,204,281,56
22,7,29,0
8,81,90,0
60,239,260,53
18,16,24,0
12,56,111,0
78,239,264,31
18,11,29,0
17,69,93,0
83,232,269,28
14,14,30,0
22,76,81,0
71,236,274,31
27,10,21,0
13,69,97,0
77,247,251,37
17,16,25,0
24,72,83,0
94,221,266,31
24,6,28,0
24,81,74,0
80,223,276,33
20,18,20,0
11,78,90,0
74,234,270,34
21,10,27,0
12,76,91,0
68,243,281,20
20,13,25,0
27,70,82,0
105,216,264,27
26,8,24,0
17,111,51,0
84,204,265,59
21,5,32,0
22,85,72,0
89,228,252,43
20,11,27,0
10,140,29,0
65,209,179,159
15,11,32,0
28,52,99,0
87,236,275,14
25,9,24,0
15,76,88,0
70,230,283,29
19,15,24,0
18,120,41,0
65,221,214,112
18,13,27,0
13,98,68,0
73,233,266,40
16,15,27,0
20,97,62,0
73,220,259,60
22,9,27,0
31,77,71,0
103,219,263,27
20,12,26,0
13,132,34,0
59,214,214,125
13,13,32,0
18,92,69,0
86,224,253,49
18,11,29,0
13,116,50,0
58,212,257,85
14,18,26,0
20,118,41,0
75,207,235,95
22,8,28,0
22,97,60,0
88,209,266,49
19,10,29,0
31,76,72,0
96,231,273,12
24,8,26,0
25,77,77,0
110,219,261,22
23,11,24,0
19,88,72,0
95,203,265,49
29,6,23,0
21,100,58,0
95,212,255,50
23,8,27,0
13,136,30,0
42,216,204,150
12,13,33,0
24,94,61,0
75,224,282,31
22,9,27,0
16,91,72,0
92,224,273,23
19,7,32,0
14,88,77,0
67,241,268,36
15,13,30,0
29,48,102,0
81,244,281,6
21,14,23,0
18,92,69,0
83,216,267,46
10,20,28,0
11,48,120,0
82,247,260,23
20,10,28,0
18,97,64,0
94,214,249,55
22,10,26,0
15,107,57,0
79,212,224,97
24,10,24,0
24,79,76,0
99,229,251,33
23,7,28,0
